col_datetime,index,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_017,col_018,col_019,col_020,col_021,col_022,col_023,col_024,col_025,col_026,col_027,col_028,col_029,col_030,col_031,col_032,col_033,col_034,col_035,col_036,col_037,col_038,col_039,col_040,col_041,col_042,col_043,col_044,col_045,col_046,col_year,col_label
2022-09-27 19:11:46,1298,27,19,11,9,46,2022-09-27T17:19:03.000Z,0,5,0,0,0,19,1,0,141,145,10159,0,0,,108.7,25,0,0,299,297,302,298,298,304,303,298,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:11:48,1299,27,19,11,9,48,2022-09-27T17:19:05.000Z,0,5,0,0,0,19,1,0,141,145,10167,0,0,,26.8,25,0,0,299,297,302,298,298,304,303,298,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:11:51,1300,27,19,11,9,51,2022-09-27T17:19:08.000Z,0,5,0,0,0,19,1,0,141,145,10175,0,0,,84.7,25,0,0,299,297,303,298,299,304,304,297,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:11:54,1301,27,19,11,9,54,2022-09-27T17:19:11.000Z,0,5,0,0,0,19,1,0,141,145,10183,0,0,,140.9,25,0,0,299,298,303,298,300,304,304,297,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:11:56,1302,27,19,11,9,56,2022-09-27T17:19:13.000Z,0,5,0,0,0,19,1,0,141,145,10191,0,0,,57.3,25,0,0,299,298,303,297,300,303,305,297,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:11:59,1303,27,19,11,9,59,2022-09-27T17:19:16.000Z,0,5,0,0,0,19,1,0,141,145,10199,0,0,,113.6,25,0,0,300,298,303,297,301,303,305,297,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:12:01,1304,27,19,12,9,1,2022-09-27T17:19:18.000Z,0,5,0,0,0,19,1,0,141,145,10207,0,0,,31.6,25,0,0,300,299,303,297,301,302,305,297,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:12:04,1305,27,19,12,9,4,2022-09-27T17:19:21.000Z,0,5,0,0,0,19,1,0,141,145,10215,0,0,,89.5,25,0,0,300,299,302,297,302,302,305,297,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:12:06,1306,27,19,12,9,6,2022-09-27T17:19:23.000Z,0,5,0,0,0,19,1,0,141,145,10223,0,0,,7.6,25,0,0,300,300,302,297,302,301,305,297,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:12:09,1307,27,19,12,9,9,2022-09-27T17:19:26.000Z,0,5,0,0,0,19,1,0,141,145,10231,0,0,,63.8,25,0,0,300,301,302,297,303,301,305,297,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:12:12,1308,27,19,12,9,12,2022-09-27T17:19:29.000Z,0,5,0,0,0,19,1,0,141,145,10239,0,0,,120.1,25,0,0,300,301,301,297,303,300,305,297,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:12:14,1309,27,19,12,9,14,2022-09-27T17:19:31.000Z,0,5,0,0,0,19,1,0,141,145,10247,0,0,,38.1,25,0,0,300,302,301,297,303,300,305,297,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:12:17,1310,27,19,12,9,17,2022-09-27T17:19:34.000Z,0,5,0,0,0,19,1,0,141,145,10255,0,0,,94.4,25,0,0,300,303,301,297,303,299,304,298,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:12:19,1311,27,19,12,9,19,2022-09-27T17:19:36.000Z,0,5,0,0,0,19,1,0,141,145,10263,0,0,,12.4,25,0,0,300,303,300,297,303,299,304,298,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:12:22,1312,27,19,12,9,22,2022-09-27T17:19:39.000Z,0,5,0,0,0,19,1,0,141,145,10271,0,0,,68.7,25,0,0,300,304,300,297,303,298,303,298,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:12:25,1313,27,19,12,9,25,2022-09-27T17:19:42.000Z,0,5,0,0,0,19,1,0,141,145,10279,0,0,,126.6,25,0,0,300,304,299,297,303,298,303,299,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:12:27,1314,27,19,12,9,27,2022-09-27T17:19:44.000Z,0,5,0,0,0,19,1,0,141,145,10287,0,0,,43.0,25,0,0,300,304,299,296,303,297,302,299,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:12:30,1315,27,19,12,9,30,2022-09-27T17:19:47.000Z,0,5,0,0,0,19,1,0,141,145,10295,0,0,,100.9,25,0,0,300,305,299,297,303,297,302,300,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:12:32,1316,27,19,12,9,32,2022-09-27T17:19:49.000Z,0,5,0,0,0,19,1,0,141,145,10303,0,0,,19.0,25,0,0,300,305,298,297,303,297,301,300,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:12:35,1317,27,19,12,9,35,2022-09-27T17:19:52.000Z,0,5,0,0,0,19,1,0,141,145,10311,0,0,,75.2,25,0,0,300,304,298,297,302,297,301,301,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:12:38,1318,27,19,12,9,38,2022-09-27T17:19:55.000Z,0,5,0,0,0,19,1,0,141,145,10319,0,0,,133.1,25,0,0,300,304,298,297,302,297,300,302,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:12:40,1319,27,19,12,9,40,2022-09-27T17:19:57.000Z,0,5,0,0,0,19,1,0,141,145,10327,0,0,,49.5,25,0,0,300,304,297,297,301,297,300,302,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:12:43,1320,27,19,12,9,43,2022-09-27T17:20:00.000Z,0,5,0,0,0,19,1,0,141,145,10335,0,0,,105.8,25,0,0,300,304,297,297,301,297,299,303,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:12:45,1321,27,19,12,9,45,2022-09-27T17:20:02.000Z,0,5,0,0,0,19,1,0,141,145,10343,0,0,,23.8,25,0,0,300,303,297,297,300,297,299,303,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:12:48,1322,27,19,12,9,48,2022-09-27T17:20:05.000Z,0,5,0,0,0,19,1,0,141,145,10351,0,0,,81.7,25,0,0,299,303,297,297,300,298,298,304,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:12:51,1323,27,19,12,9,51,2022-09-27T17:20:08.000Z,0,5,0,0,0,19,1,0,141,145,10359,0,0,,138.0,25,0,0,299,302,297,297,299,298,298,304,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:12:53,1324,27,19,12,9,53,2022-09-27T17:20:10.000Z,0,5,0,0,0,19,1,0,141,145,10367,0,0,,54.4,25,0,0,299,302,297,297,299,298,297,304,,,13,300,300,300,300,300,300,300,300,,2022,0
